checkpoint_id,download_url,task,model_size,A* variant
maze-sweep-rep-det-large-0,https://dl.fbaipublicfiles.com/searchformer/ckptDB/maze-sweep-rep-det-large-0.ckpt,maze,large,deterministic
maze-sweep-rep-det-large-1,https://dl.fbaipublicfiles.com/searchformer/ckptDB/maze-sweep-rep-det-large-1.ckpt,maze,large,deterministic
maze-sweep-rep-det-large-10,https://dl.fbaipublicfiles.com/searchformer/ckptDB/maze-sweep-rep-det-large-10.ckpt,maze,large,deterministic
maze-sweep-rep-det-large-100,https://dl.fbaipublicfiles.com/searchformer/ckptDB/maze-sweep-rep-det-large-100.ckpt,maze,large,deterministic
maze-sweep-rep-det-large-101,https://dl.fbaipublicfiles.com/searchformer/ckptDB/maze-sweep-rep-det-large-101.ckpt,maze,large,deterministic
maze-sweep-rep-det-large-102,https://dl.fbaipublicfiles.com/searchformer/ckptDB/maze-sweep-rep-det-large-102.ckpt,maze,large,deterministic
maze-sweep-rep-det-large-103,https://dl.fbaipublicfiles.com/searchformer/ckptDB/maze-sweep-rep-det-large-103.ckpt,maze,large,deterministic
maze-sweep-rep-det-large-104,https://dl.fbaipublicfiles.com/searchformer/ckptDB/maze-sweep-rep-det-large-104.ckpt,maze,large,deterministic
maze-sweep-rep-det-large-105,https://dl.fbaipublicfiles.com/searchformer/ckptDB/maze-sweep-rep-det-large-105.ckpt,maze,large,deterministic
maze-sweep-rep-det-large-106,https://dl.fbaipublicfiles.com/searchformer/ckptDB/maze-sweep-rep-det-large-106.ckpt,maze,large,deterministic
maze-sweep-rep-det-large-107,https://dl.fbaipublicfiles.com/searchformer/ckptDB/maze-sweep-rep-det-large-107.ckpt,maze,large,deterministic
maze-sweep-rep-det-large-108,https://dl.fbaipublicfiles.com/searchformer/ckptDB/maze-sweep-rep-det-large-108.ckpt,maze,large,deterministic
maze-sweep-rep-det-large-109,https://dl.fbaipublicfiles.com/searchformer/ckptDB/maze-sweep-rep-det-large-109.ckpt,maze,large,deterministic
maze-sweep-rep-det-large-11,https://dl.fbaipublicfiles.com/searchformer/ckptDB/maze-sweep-rep-det-large-11.ckpt,maze,large,deterministic
maze-sweep-rep-det-large-110,https://dl.fbaipublicfiles.com/searchformer/ckptDB/maze-sweep-rep-det-large-110.ckpt,maze,large,deterministic
maze-sweep-rep-det-large-111,https://dl.fbaipublicfiles.com/searchformer/ckptDB/maze-sweep-rep-det-large-111.ckpt,maze,large,deterministic
maze-sweep-rep-det-large-112,https://dl.fbaipublicfiles.com/searchformer/ckptDB/maze-sweep-rep-det-large-112.ckpt,maze,large,deterministic
maze-sweep-rep-det-large-113,https://dl.fbaipublicfiles.com/searchformer/ckptDB/maze-sweep-rep-det-large-113.ckpt,maze,large,deterministic
maze-sweep-rep-det-large-114,https://dl.fbaipublicfiles.com/searchformer/ckptDB/maze-sweep-rep-det-large-114.ckpt,maze,large,deterministic
